"database_id","scientificName","family","subfamily","genus","subgenus","subspecies","species","specificEpithet","infraspecificEpithet","acceptedNameUsage","taxonRank","scientificNameAuthorship","identificationQualifier","higherClassification","identificationReferences","typeStatus","previousIdentifications","verbatimIdentification","identifiedBy","dateIdentified","decimalLatitude","decimalLongitude","stateProvince","continent","locality","island","county","municipality","level0Gid","level0Name","level1Gid","level1Name","license","issue","eventDate","eventTime","day","month","year","basisOfRecord","country","type","occurrenceStatus","recordNumber","recordedBy","eventID","Location","samplingProtocol","samplingEffort","individualCount","organismQuantity","coordinatePrecision","coordinateUncertaintyInMeters","spatiallyValid","catalogNumber","gbifID","datasetID","institutionCode","datasetName","otherCatalogNumbers","occurrenceID","taxonKey","coreid","recordId","collectionID","verbatimScientificName","verbatimEventDate","associatedTaxa","associatedOrganisms","fieldNotes","sex","rights","rightsHolder","accessRights","associatedReferences","bibliographicCitation","references","informationWithheld","isDuplicateOf","hasCoordinate","hasGeospatialIssues","assertions","occurrenceYear","id","duplicateStatus","associatedOccurrences","locationRemarks","dataSource","verbatim_scientificName","countryCO","country_suggested","countryCode","iso_a3","countryMatch"
"Paige_data_2023380","Perdita beatula Timberlake, 1960","Andrenidae","Panurginae","Perdita",NA,NA,"Perdita beatula","beatula",NA,NA,"SPECIES","Timberlake, 1960",NA,NA,NA,NA,NA,NA,NA,NA,37.0702,-117.6671,"California",NA,"Eureka Dunes, SE side",NA,"Inyo",NA,"USA","United States","USA.5_1","California","CC_BY_4_0","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE","1999/05/24 00:00:00",NA,24,5,1999,"PRESERVED_SPECIMEN","United states",NA,"PRESENT",NA,"R. Andrus",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BBSL340690",659032933,NA,"USDA-ARS",NA,NA,"659032933",1356206,NA,NA,NA,"Perdita beatula Timberlake, 1960",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,"Unique",NA,NA,"GBIF_Andrenidae",NA,"United States",NA,NA,"USA","exact"
"Paige_data_2133956","Perdita tridentata Stevens, 1919","Andrenidae","Panurginae","Perdita",NA,NA,"Perdita tridentata","tridentata",NA,NA,"SPECIES","Stevens, 1919",NA,NA,NA,NA,NA,NA,"unknown",NA,38.06083,-97.92944,"Kansas","NORTH_AMERICA","Hutchinson, SE",NA,"Reno",NA,"USA","United States","USA.17_1","Kansas","CC_BY_4_0","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY","1951/09/02 00:00:00",NA,2,9,1951,"PRESERVED_SPECIMEN","United states",NA,"PRESENT",NA,"Michener & Wille",NA,NA,NA,NA,NA,NA,NA,NA,NA,"217000",658206538,NA,"KU","Snow Entomological Museum Collection",NA,"3859c8bd-1ed6-11e3-bfac-90b11c41863e",1356065,NA,NA,NA,"Perdita tridentata Stevens, 1919",NA,"Helianthus petiolaris",NA,NA,NA,NA,NA,"http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms",NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,"Unique",NA,NA,"GBIF_Andrenidae",NA,"United States",NA,NA,"USA","exact"
"Dorey_data_10104338","Perdita ignota Cockerell, 1896","Andrenidae","Panurginae","Perdita",NA,NA,"Perdita ignota","ignota",NA,NA,NA,"Cockerell, 1896",NA,NA,NA,NA,NA,NA,"Danforth, Bryan",NA,39.02,-95.29,"Kansas","Nearctic","Lawrence, 6.4 km NW",NA,"Douglas",NA,NA,NA,NA,NA,NA,NA,"1987/09/17 00:00:00",NA,17,9,1987,"PreservedSpecimen","United states",NA,NA,NA,"Danforth, Bryan",NA,NA,NA,NA,NA,NA,NA,NA,NA,"289568",NA,NA,"KU","Snow Entomological Museum Collection",NA,"2403646f-1ed6-11e3-bfac-90b11c41863e",NA,"20d0e557-ba98-4161-847e-1761e36211e1",NA,NA,"Perdita ignota Cockerell, 1896",NA,"Heterotheca",NA,NA,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unique",NA,NA,"iDigBio_andrenidae",NA,"United states",NA,NA,"USA","exact"
"Dorey_data_10523252","Hylaeus asininus (Cockerell and Casad, 1895)","Colletidae","Hylaeinae","Hylaeus",NA,NA,"Hylaeus asininus","asininus",NA,NA,NA,"(Cockerell and Casad, 1895)",NA,NA,NA,NA,NA,NA,NA,NA,26.17313,-98.38252,"Texas",NA,"Bentsen Rio Grande Valley State Park",NA,"Hidalgo",NA,NA,NA,NA,NA,NA,NA,"1978/03/22 00:00:00",NA,22,3,1978,"Preserved specimen","United states",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X1376170",NA,NA,"TAMU",NA,NA,"b75ed897-f7e5-4267-8fbb-39e0e366a771",NA,"60db961c-e415-4e66-ac1d-d1b268975cf2","urn:uuid:07f52f2a-7bac-4aea-970b-5a3e929ec345","13b264e0-ea1c-4ff2-8229-0507f8dbf46a","Hylaeus asininus (Cockerell and Casad, 1895)","3/22/1978",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unique",NA,NA,"iDigBio_colletidae",NA,"United states",NA,NA,"MEX","exact"
"Dorey_data_11490216","Apis mellifera Linnaeus, 1758","Apidae","Apinae","Apis",NA,NA,"Apis mellifera","mellifera",NA,NA,NA,"Linnaeus, 1758",NA,NA,NA,NA,NA,NA,"Kimberly Huntzinger","8/3/2012",31.956,-112.8095,"Arizona",NA,NA,NA,"Pima","Organ Pipe Cactus National Monument",NA,NA,NA,NA,NA,NA,"2011/10/22 00:00:00",NA,22,10,2011,"preservedspecimen","United states",NA,NA,NA,"Kelly Petersen","USGS_DRO9749",NA,"trapType:pan trap; trapCount:29; trapVolume:bowl 3.25oz; trapColor:in field note; trapLiquid:soap dawn",NA,NA,NA,NA,NA,NA,"SamplingEventNumber:USGS_DRO9749 | SpecimenNumber:USGS_DRO290831",NA,NA,"BISON","USGS PWRC - Native Bee Inventory and Monitoring Lab (BIML)",NA,"USGS_DRO290831",NA,"9fe04a7b-c5c9-42e9-9e2d-c9cb54f55fd7",NA,"https://bison.usgs.gov/ipt/resource?r=usgs-pwrc-biml","Apis mellifera Linnaeus, 1758","StartDateTime:201110210900xx; EndDateTime:201110220920xx",NA,NA,"""10 fl blue 10 fl white 10 fl yellow;out of 30 bowls, lost : 1 blue""","female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unique",NA,NA,"iDigBio_apidae",NA,"United states",NA,NA,"USA","exact"
"Dorey_data_12003641","Melissodes tristis Cockerell, 1894","Apidae","Apinae","Melissodes",NA,NA,"Melissodes tristis","tristis",NA,NA,NA,"Cockerell, 1894",NA,NA,NA,NA,NA,NA,"Wright, Karen",NA,31.44806,-110.6395,"Arizona","Nearctic","Bisbee, 20 km W, hwy 92",NA,"Cochise",NA,NA,NA,NA,NA,NA,NA,"1991/08/14 00:00:00",NA,14,8,1991,"PreservedSpecimen","United states",NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1575691",NA,NA,"KU","Snow Entomological Museum Collection",NA,"63a8f46b-bc91-4e48-8e22-7a5e1f97b46b",NA,"611868e3-5828-49e8-bee8-495dedb86b45",NA,NA,"Melissodes tristis Cockerell, 1894",NA,NA,NA,NA,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unique",NA,NA,"iDigBio_apidae",NA,"United states",NA,NA,"USA","exact"
"Dorey_data_13020835","Bombus bifarius Cresson, 1878","Apidae","Apinae","Bombus",NA,NA,"Bombus bifarius","bifarius",NA,NA,NA,"Cresson, 1878",NA,NA,NA,NA,NA,NA,"Russell B. Miller","1984",37.274922,-108.151037,"Colorado",NA,"16 mi. W. of Durango by Route 160",NA,"La Plata County",NA,NA,NA,NA,NA,NA,NA,"1971/06/09 00:00:00",NA,9,6,1971,"PreservedSpecimen","United states",NA,NA,NA,"Russell B. Miller, C. J. Miller",NA,NA,NA,NA,1,NA,NA,12835,NA,"YPM ENT 709715",NA,NA,"YPM",NA,NA,"urn:uuid:c5f8e240-e7b5-4d1e-a85c-943b59453d6f",NA,NA,"urn:uuid:ad0495ff-e5ff-4761-be8c-90e56b0cf754","eebda952-05ec-474e-833e-1a2085294977","Bombus bifarius Cresson, 1878","1971-6-9",NA,NA,"ENT number 709715; lot count 1; worker; accn=YPM.11264","worker","http://creativecommons.org/publicdomain/zero/1.0/","Yale University",NA,NA,NA,"https://scan-bugs.org:443/portal/collections/individual/index.php?occid=14339575",NA,NA,NA,NA,NA,NA,"14339575","Unique",NA,NA,"SCAN_Apidae",NA,"United states",NA,NA,"USA","exact"
"Dorey_data_14423131","Colletes kincaidii Cockerell, 1898","Colletidae","Colletinae","Colletes",NA,NA,"Colletes kincaidii","kincaidii",NA,NA,NA,"Cockerell, 1898",NA,NA,NA,NA,NA,NA,NA,NA,39.23859,-123.205,"California",NA,"Redwood Valley, 2 mi S",NA,"Humboldt",NA,NA,NA,NA,NA,NA,NA,"1974/07/28 00:00:00",NA,28,7,1974,"PreservedSpecimen","United states",NA,NA,NA,"Brooks, Robert",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1401690",NA,NA,"KU",NA,NA,"7fe2a59b-e3b2-42ac-a3f4-1c642f9d896d",NA,NA,"urn:uuid:8a9ab97c-e6fb-4012-9255-c3a24b0d0eeb","c45886f1-3524-42f4-a113-4e4e193505a8","Colletes kincaidii Cockerell, 1898","1974-7-28",NA,NA,NA,NA,"http://creativecommons.org/publicdomain/zero/1.0/","The University of Kansas Natural History Museum",NA,NA,NA,"https://scan-bugs.org:443/portal/collections/individual/index.php?occid=19217147",NA,NA,NA,NA,NA,NA,"19217147","Unique",NA,NA,"SCAN_Colletidae",NA,"United states",NA,NA,"USA","exact"
"Dorey_data_15306235","Lasioglossum lilianae Gardner and Gibbs, 2020","Halictidae","Halictinae","Lasioglossum",NA,NA,"Lasioglossum lilianae","lilianae",NA,NA,NA,"Gardner and Gibbs, 2020",NA,NA,NA,NA,NA,NA,"Joel Gardner","2020",31.3195,-109.27028,"Sonora",NA,"30 km east of Agua Prieta",NA,"Agua Prieta",NA,NA,NA,NA,NA,NA,NA,"2007/08/13 00:00:00",NA,13,8,2007,"PreservedSpecimen","Mexico",NA,NA,NA,"R.L. Minckley",NA,NA,"net",NA,NA,NA,NA,NA,NA,"SBV077393",NA,NA,"RLMC",NA,NA,"d4a5fc6b-add8-48ad-b1c0-07448c949174",NA,NA,"urn:uuid:d4a5fc6b-add8-48ad-b1c0-07448c949174","43c894af-a05d-4c92-833c-83e1ebd68701","Lasioglossum lilianae Gardner and Gibbs, 2020","8/13/2007","Mentzelia pumila",NA,NA,"Female","http://creativecommons.org/licenses/by-nc/4.0/","Robert Minckley",NA,NA,NA,"https://scan-bugs.org:443/portal/collections/individual/index.php?occid=43933109",NA,NA,NA,NA,NA,NA,"43933109","Unique",NA,NA,"SCAN_Halictidae",NA,"Mexico","Mexico","MX","MEX","exact"
"Dorey_data_16755493","Exomalopsis tepaneca Cresson, 1878","Apidae","Apinae","Exomalopsis",NA,NA,"Exomalopsis tepaneca","tepaneca",NA,NA,NA,"Cresson, 1878",NA,NA,NA,"NO APLICA",NA,NA,"PS",NA,16.8806,-92.418,"CHIAPAS",NA,"Tzuluwitz",NA,"SAN JUAN CANCUC",NA,NA,NA,NA,NA,NA,NA,"2009/03/10 00:00:00",NA,10,3,2009,"PreservedSpecimen","Mexico",NA,NA,NA,"JM",NA,NA,NA,NA,1,NA,NA,NA,NA,"90527",NA,NA,"ECOSUR",NA,NA,"urn:catalog:ECOSUR:ECO-SC-AB:90527:e3de9c3f90a185b922d130ed9be4a431",NA,NA,"urn:uuid:1ffe357d-eab2-4e5d-b925-2fdc8425ceba","dad44928-25a6-4be6-b5a1-8afa96f8a7c4","Exomalopsis tepaneca Cresson, 1878","2009-3-10",NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,"https://scan-bugs.org:443/portal/collections/individual/index.php?occid=60196014",NA,NA,NA,NA,NA,NA,"60196014","Unique",NA,NA,"SCAN_Apidae",NA,"Mexico","Mexico","MX","MEX","exact"
"Dorey_data_17114057","Lasioglossum coriaceum (Smith, 1853)","Halictidae","Halictinae","Lasioglossum",NA,NA,"Lasioglossum coriaceum","coriaceum",NA,NA,NA,"(Smith, 1853)",NA,NA,NA,NA,NA,NA,"Sam Droege","7/26/201",39.0292,-77.6068,"Virginia",NA,NA,NA,"Loudoun","Banshee Reeks Nature Preserve",NA,NA,NA,NA,NA,NA,"2011/05/21 00:00:00","20110618190844",21,5,2011,NA,"United states",NA,NA,NA,"Elizabeth Sellers, Laura Porter","USGS_DRO8757","Site 1","Technique used: pan trap|Bowls full upon collection: 30|Sampling Bowl/trap size: bowl 3.25oz|Trap colour: in field note|Trap liquid: soap dawn",NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,"USGS_DRO214774",NA,NA,"USGS_DRO214774",NA,"Lasioglossum coriaceum (Smith, 1853)",NA,NA,NA,"field_note: Blue, Yellow, and White UV. Sunny and mostly clear. High temperature for the day 81oF. No plants observed in flower.|note: Along NW facing slope along Carter-Luck trail. Transect runs along the slope below the crest of the ridge.|DateEntered: 1/27/2017 9:35:36|DateScanned: 7/26/201|ipAddress: 72.86.54.41|time1: 2011-05-21 06:00:00|time2: 2011-05-21 18:00:00","f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USGS_DRO214774","Unique",NA,NA,"USGS_data",NA,"United states",NA,NA,"USA","exact"
